original_filename,augmented_filename,augmentation_type,parameters
0000000_00098_d_0000001.jpg,0000000_00098_d_0000001_original.jpg,original,{}
0000000_00098_d_0000001.jpg,0000000_00098_d_0000001_blur.jpg,blur,{'kernel_size': 9}
0000000_00098_d_0000001.jpg,0000000_00098_d_0000001_dark.jpg,dark,"{'alpha': 0.66, 'beta': -12}"
0000000_00098_d_0000001.jpg,0000000_00098_d_0000001_bright.jpg,bright,"{'alpha': 1.2, 'beta': 28}"
0000000_00098_d_0000001.jpg,0000000_00098_d_0000001_lowcontrast.jpg,lowcontrast,"{'alpha': 0.59, 'mean': np.float64(78.85)}"
0000000_00098_d_0000001.jpg,0000000_00098_d_0000001_noise.jpg,noise,{'sigma': 6}
0000000_01013_d_0000003.jpg,0000000_01013_d_0000003_original.jpg,original,{}
0000000_01013_d_0000003.jpg,0000000_01013_d_0000003_blur.jpg,blur,{'kernel_size': 19}
0000000_01013_d_0000003.jpg,0000000_01013_d_0000003_dark.jpg,dark,"{'alpha': 0.66, 'beta': -18}"
0000000_01013_d_0000003.jpg,0000000_01013_d_0000003_bright.jpg,bright,"{'alpha': 1.19, 'beta': 52}"
0000000_01013_d_0000003.jpg,0000000_01013_d_0000003_lowcontrast.jpg,lowcontrast,"{'alpha': 0.54, 'mean': np.float64(84.78)}"
0000000_01013_d_0000003.jpg,0000000_01013_d_0000003_noise.jpg,noise,{'sigma': 8}
0000000_01619_d_0000004.jpg,0000000_01619_d_0000004_original.jpg,original,{}
0000000_01619_d_0000004.jpg,0000000_01619_d_0000004_blur.jpg,blur,{'kernel_size': 19}
0000000_01619_d_0000004.jpg,0000000_01619_d_0000004_dark.jpg,dark,"{'alpha': 0.71, 'beta': -12}"
0000000_01619_d_0000004.jpg,0000000_01619_d_0000004_bright.jpg,bright,"{'alpha': 1.42, 'beta': 20}"
0000000_01619_d_0000004.jpg,0000000_01619_d_0000004_lowcontrast.jpg,lowcontrast,"{'alpha': 0.6, 'mean': np.float64(93.2)}"
0000000_01619_d_0000004.jpg,0000000_01619_d_0000004_noise.jpg,noise,{'sigma': 7}
0000000_02021_d_0000005.jpg,0000000_02021_d_0000005_original.jpg,original,{}
0000000_02021_d_0000005.jpg,0000000_02021_d_0000005_blur.jpg,blur,{'kernel_size': 19}
0000000_02021_d_0000005.jpg,0000000_02021_d_0000005_dark.jpg,dark,"{'alpha': 0.74, 'beta': -16}"
0000000_02021_d_0000005.jpg,0000000_02021_d_0000005_bright.jpg,bright,"{'alpha': 1.19, 'beta': 68}"
0000000_02021_d_0000005.jpg,0000000_02021_d_0000005_lowcontrast.jpg,lowcontrast,"{'alpha': 0.43, 'mean': np.float64(137.68)}"
0000000_02021_d_0000005.jpg,0000000_02021_d_0000005_noise.jpg,noise,{'sigma': 6}
0000000_02309_d_0000006.jpg,0000000_02309_d_0000006_original.jpg,original,{}
0000000_02309_d_0000006.jpg,0000000_02309_d_0000006_blur.jpg,blur,{'kernel_size': 19}
0000000_02309_d_0000006.jpg,0000000_02309_d_0000006_dark.jpg,dark,"{'alpha': 0.67, 'beta': -9}"
0000000_02309_d_0000006.jpg,0000000_02309_d_0000006_bright.jpg,bright,"{'alpha': 1.34, 'beta': 71}"
0000000_02309_d_0000006.jpg,0000000_02309_d_0000006_lowcontrast.jpg,lowcontrast,"{'alpha': 0.32, 'mean': np.float64(107.59)}"
0000000_02309_d_0000006.jpg,0000000_02309_d_0000006_noise.jpg,noise,{'sigma': 12}
0000000_02652_d_0000007.jpg,0000000_02652_d_0000007_original.jpg,original,{}
0000000_02652_d_0000007.jpg,0000000_02652_d_0000007_blur.jpg,blur,{'kernel_size': 9}
0000000_02652_d_0000007.jpg,0000000_02652_d_0000007_dark.jpg,dark,"{'alpha': 0.89, 'beta': -8}"
0000000_02652_d_0000007.jpg,0000000_02652_d_0000007_bright.jpg,bright,"{'alpha': 1.13, 'beta': 38}"
0000000_02652_d_0000007.jpg,0000000_02652_d_0000007_lowcontrast.jpg,lowcontrast,"{'alpha': 0.63, 'mean': np.float64(83.91)}"
0000000_02652_d_0000007.jpg,0000000_02652_d_0000007_noise.jpg,noise,{'sigma': 10}
0000000_03019_d_0000008.jpg,0000000_03019_d_0000008_original.jpg,original,{}
0000000_03019_d_0000008.jpg,0000000_03019_d_0000008_blur.jpg,blur,{'kernel_size': 13}
0000000_03019_d_0000008.jpg,0000000_03019_d_0000008_dark.jpg,dark,"{'alpha': 0.83, 'beta': -19}"
0000000_03019_d_0000008.jpg,0000000_03019_d_0000008_bright.jpg,bright,"{'alpha': 1.36, 'beta': 69}"
0000000_03019_d_0000008.jpg,0000000_03019_d_0000008_lowcontrast.jpg,lowcontrast,"{'alpha': 0.42, 'mean': np.float64(78.37)}"
0000000_03019_d_0000008.jpg,0000000_03019_d_0000008_noise.jpg,noise,{'sigma': 6}
0000005_00509_d_0000002.jpg,0000005_00509_d_0000002_original.jpg,original,{}
0000005_00509_d_0000002.jpg,0000005_00509_d_0000002_blur.jpg,blur,{'kernel_size': 13}
0000005_00509_d_0000002.jpg,0000005_00509_d_0000002_dark.jpg,dark,"{'alpha': 0.87, 'beta': -8}"
0000005_00509_d_0000002.jpg,0000005_00509_d_0000002_bright.jpg,bright,"{'alpha': 1.21, 'beta': 60}"
0000005_00509_d_0000002.jpg,0000005_00509_d_0000002_lowcontrast.jpg,lowcontrast,"{'alpha': 0.63, 'mean': np.float64(107.75)}"
0000005_00509_d_0000002.jpg,0000005_00509_d_0000002_noise.jpg,noise,{'sigma': 7}
0000009_00009_d_0000001.jpg,0000009_00009_d_0000001_original.jpg,original,{}
0000009_00009_d_0000001.jpg,0000009_00009_d_0000001_blur.jpg,blur,{'kernel_size': 17}
0000009_00009_d_0000001.jpg,0000009_00009_d_0000001_dark.jpg,dark,"{'alpha': 0.74, 'beta': -12}"
