filename,original_filename,degradation_type,width,height,blur_score,brightness,contrast,quality_issues,quality_status,cnn_predicted_degradation_type,cnn_prediction_confidence,cnn_prediction_correct
0000000_00098_d_0000001_lowcontrast.jpg,0000000_00098_d_0000001.jpg,lowcontrast,1360,765,74.1,80.15,30.77,"blurry, low_contrast",not_usable,dark,0.5476817,False
0000000_00098_d_0000001_noise.jpg,0000000_00098_d_0000001.jpg,noise,1360,765,561.79,81.01,51.9,none,usable,original,0.5375306,False
0000000_01013_d_0000003_noise.jpg,0000000_01013_d_0000003.jpg,noise,1360,765,1867.77,86.89,55.26,none,usable,original,0.5243315,False
0000000_01619_d_0000004_noise.jpg,0000000_01619_d_0000004.jpg,noise,1360,765,1738.26,95.28,55.4,none,usable,original,0.47211632,False
0000000_02021_d_0000005_noise.jpg,0000000_02021_d_0000005.jpg,noise,1360,765,2292.27,138.31,56.31,none,usable,original,0.5356171,False
0000000_02309_d_0000006_noise.jpg,0000000_02309_d_0000006.jpg,noise,1360,765,2603.37,108.87,54.66,none,usable,original,0.48765886,False
0000000_02652_d_0000007_dark.jpg,0000000_02652_d_0000007.jpg,dark,1360,765,1029.36,69.1,46.23,none,usable,original,0.4124789,False
0000000_02652_d_0000007_lowcontrast.jpg,0000000_02652_d_0000007.jpg,lowcontrast,1360,765,503.06,85.42,32.72,low_contrast,not_usable,dark,0.86502177,False
0000000_02652_d_0000007_noise.jpg,0000000_02652_d_0000007.jpg,noise,1360,765,2246.08,86.31,52.15,none,usable,original,0.5993419,False
0000000_03019_d_0000008_noise.jpg,0000000_03019_d_0000008.jpg,noise,1360,765,1207.31,81.64,46.63,none,usable,original,0.5384552,False
0000005_00509_d_0000002_noise.jpg,0000005_00509_d_0000002.jpg,noise,960,540,2430.14,107.65,52.91,none,usable,dark,0.8254582,False
0000005_00509_d_0000002_original.jpg,0000005_00509_d_0000002.jpg,original,960,540,1934.16,107.65,52.7,none,usable,dark,0.7576508,False
0000009_00009_d_0000001_noise.jpg,0000009_00009_d_0000001.jpg,noise,1360,765,1128.89,139.13,34.26,low_contrast,not_usable,dark,0.3856091,False
0000009_00009_d_0000001_original.jpg,0000009_00009_d_0000001.jpg,original,1360,765,635.05,139.14,33.92,low_contrast,not_usable,dark,0.3670175,False
