filename,original_filename,degradation_type,width,height,blur_score,brightness,contrast,quality_issues,quality_status,predicted_degradation_type,prediction_correct
0000009_01947_d_0000007_original.jpg,0000009_01947_d_0000007.jpg,original,1360,765,1833.58,127.53,54.24,none,usable,dark,False
0000009_03179_d_0000010_original.jpg,0000009_03179_d_0000010.jpg,original,1360,765,1003.57,126.39,48.15,none,usable,dark,False
0000009_04379_d_0000013_dark.jpg,0000009_04379_d_0000013.jpg,dark,1360,765,411.94,93.08,48.08,none,usable,original,False
0000009_04379_d_0000013_lowcontrast.jpg,0000009_04379_d_0000013.jpg,lowcontrast,1360,765,420.08,147.49,48.4,none,usable,original,False
0000009_04379_d_0000013_noise.jpg,0000009_04379_d_0000013.jpg,noise,1360,765,1674.54,147.53,71.09,none,usable,original,False
0000009_04763_d_0000014_dark.jpg,0000009_04763_d_0000014.jpg,dark,1360,765,488.21,96.24,45.48,none,usable,original,False
0000009_04763_d_0000014_lowcontrast.jpg,0000009_04763_d_0000014.jpg,lowcontrast,1360,765,312.41,145.17,37.28,none,usable,original,False
0000009_04763_d_0000014_noise.jpg,0000009_04763_d_0000014.jpg,noise,1360,765,1436.74,145.69,58.85,none,usable,bright,False
0000025_02087_d_0000003_lowcontrast.jpg,0000025_02087_d_0000003.jpg,lowcontrast,1360,765,587.54,136.84,29.6,low_contrast,not_usable,original,False
0000025_02087_d_0000003_original.jpg,0000025_02087_d_0000003.jpg,original,1360,765,1548.63,136.68,47.25,none,usable,noise,False
0000064_01771_d_0000003_bright.jpg,0000064_01771_d_0000003.jpg,bright,960,540,165.5,138.24,28.56,low_contrast,not_usable,lowcontrast,False
0000064_01771_d_0000003_dark.jpg,0000064_01771_d_0000003.jpg,dark,960,540,55.18,47.98,16.14,"blurry, underexposed, low_contrast",not_usable,lowcontrast,False
0000064_01771_d_0000003_noise.jpg,0000064_01771_d_0000003.jpg,noise,960,540,1421.55,76.98,22.36,low_contrast,not_usable,dark,False
0000064_01771_d_0000003_original.jpg,0000064_01771_d_0000003.jpg,original,960,540,89.03,76.97,20.93,"blurry, low_contrast",not_usable,dark,False
0000077_03026_d_0000008_dark.jpg,0000077_03026_d_0000008.jpg,dark,1360,765,676.02,106.86,48.72,none,usable,original,False
0000077_03026_d_0000008_noise.jpg,0000077_03026_d_0000008.jpg,noise,1360,765,1680.74,137.68,56.24,none,usable,original,False
0000088_00131_d_0000001_original.jpg,0000088_00131_d_0000001.jpg,original,960,540,956.67,98.36,41.59,none,usable,dark,False
0000097_03343_d_0000032_original.jpg,0000097_03343_d_0000032.jpg,original,960,540,2136.35,108.04,44.61,none,usable,noise,False
0000097_06366_d_0000041_noise.jpg,0000097_06366_d_0000041.jpg,noise,960,540,1493.57,117.99,47.39,none,usable,original,False
0000097_06766_d_0000042_noise.jpg,0000097_06766_d_0000042.jpg,noise,960,540,1752.86,115.53,51.87,none,usable,original,False
0000097_08841_d_0000049_bright.jpg,0000097_08841_d_0000049.jpg,bright,960,540,1158.74,151.71,35.89,none,usable,noise,False
0000097_08841_d_0000049_original.jpg,0000097_08841_d_0000049.jpg,original,960,540,949.71,105.4,33.16,low_contrast,not_usable,dark,False
0000104_01170_d_0000060_noise.jpg,0000104_01170_d_0000060.jpg,noise,1360,765,1326.94,93.89,39.61,none,usable,dark,False
0000104_02358_d_0000065_bright.jpg,0000104_02358_d_0000065.jpg,bright,1360,765,272.55,144.64,40.68,none,usable,original,False
0000104_02358_d_0000065_noise.jpg,0000104_02358_d_0000065.jpg,noise,1360,765,412.19,83.88,33.97,low_contrast,not_usable,dark,False
0000104_02358_d_0000065_original.jpg,0000104_02358_d_0000065.jpg,original,1360,765,183.55,83.9,33.81,low_contrast,not_usable,dark,False
0000119_01199_d_0000081_bright.jpg,0000119_01199_d_0000081.jpg,bright,1360,765,232.51,131.69,44.04,none,usable,original,False
0000119_01199_d_0000081_noise.jpg,0000119_01199_d_0000081.jpg,noise,1360,765,408.47,52.22,38.26,underexposed,not_usable,dark,False
0000119_01199_d_0000081_original.jpg,0000119_01199_d_0000081.jpg,original,1360,765,185.84,52.21,38.16,underexposed,not_usable,dark,False
0000119_02380_d_0000084_lowcontrast.jpg,0000119_02380_d_0000084.jpg,lowcontrast,1360,765,83.53,61.74,22.5,"blurry, low_contrast",not_usable,dark,False
0000119_02380_d_0000084_noise.jpg,0000119_02380_d_0000084.jpg,noise,1360,765,614.92,59.1,41.57,underexposed,not_usable,dark,False
0000119_02380_d_0000084_original.jpg,0000119_02380_d_0000084.jpg,original,1360,765,264.45,59.08,41.42,underexposed,not_usable,dark,False
0000151_03491_d_0000140_bright.jpg,0000151_03491_d_0000140.jpg,bright,1920,1080,1220.38,166.44,56.95,none,usable,original,False
0000151_03491_d_0000140_noise.jpg,0000151_03491_d_0000140.jpg,noise,1920,1080,1419.38,120.39,60.05,none,usable,original,False
0000168_00312_d_0000167_bright.jpg,0000168_00312_d_0000167.jpg,bright,1920,1080,1962.12,137.7,63.67,none,usable,noise,False
0000185_01003_d_0000185_noise.jpg,0000185_01003_d_0000185.jpg,noise,960,540,1894.98,114.74,70.91,none,usable,original,False
0000185_01401_d_0000186_lowcontrast.jpg,0000185_01401_d_0000186.jpg,lowcontrast,960,540,452.32,127.12,43.32,none,usable,original,False
